asset_id,relative_path,asset_name,asset_type,scientific_role,classification,source_workspace_path,source_git_branch,source_git_commit,generating_script,generation_command,config_file,input_assets,output_assets,random_seed,data_source,license_or_access_condition,dimensions_or_row_count,checksum_sha256,last_verified_date,verification_method,associated_claim_ids,associated_table_ids,associated_figure_ids,limitations,migration_decision
A0001,CLAIM_EVIDENCE_MAP.csv,CLAIM_EVIDENCE_MAP.csv,csv,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/CLAIM_EVIDENCE_MAP.csv,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,4,47b4e8d46b04ebc864d85ba40e22cf13c0dbdb9e9e067d91da656ed2b543b1ed,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0013,code/tests/__pycache__/test_publication_tables.cpython-311-pytest-8.4.2.pyc,test_publication_tables.cpython-311-pytest-8.4.2.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/__pycache__/test_publication_tables.cpython-311-pytest-8.4.2.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,9332 bytes,5f81ec59b970f2a645fa3c59cf0239cbba589bd46b601840b6c6a53b1e8c757c,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0014,code/tests/__pycache__/test_ranking_reversal.cpython-311-pytest-8.4.2.pyc,test_ranking_reversal.cpython-311-pytest-8.4.2.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/__pycache__/test_ranking_reversal.cpython-311-pytest-8.4.2.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,5598 bytes,2c9192f6ef77a307085d8437fab4bc23cd17bbf6c8fb3b9648d2a315a2806080,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0015,code/tests/__pycache__/test_reproducibility.cpython-311-pytest-8.4.2.pyc,test_reproducibility.cpython-311-pytest-8.4.2.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/__pycache__/test_reproducibility.cpython-311-pytest-8.4.2.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,8568 bytes,1e116b401cf9ff37086fe5a9d7764044e71d1450c0d51c4ef72e1d6c5f8e8bd0,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0016,code/tests/__pycache__/test_scenarios.cpython-311-pytest-8.4.2.pyc,test_scenarios.cpython-311-pytest-8.4.2.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/__pycache__/test_scenarios.cpython-311-pytest-8.4.2.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,20260703,historical Git workspace,Repository-owned code/provenance; license not supplied,6095 bytes,fd9f0f5def691baff605b3cb741751446522c60727dae4e14bcfed28cfce960a,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0017,code/tests/conftest.py,conftest.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/conftest.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,60,40077a47af0d8f8cb02b70142d40518f79c8a4ef5e35f529c6834c0fbf1711b8,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0018,code/tests/test_benchmarks.py,test_benchmarks.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_benchmarks.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,40,934cbfc844d58b31971465d0d00867cbfaf1ccf4d7022f87aeb6fd486f738cbf,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0019,code/tests/test_constraint_diagnostics.py,test_constraint_diagnostics.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_constraint_diagnostics.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,77,644e3bab9551fcf5b4cdd402687788d9d99b9f63ad7d0b9fadff6cdf7274d23e,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0020,code/tests/test_copulas.py,test_copulas.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_copulas.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,20,7e30a0ba291da68b4c5b1c12f18b21d5128e52cb40f4284b683ed69243119b29,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0021,code/tests/test_cvar.py,test_cvar.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_cvar.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,74,d939e2f9db0a9e86590d24cff6d981cb405a725c115d4eb188facfae48ce56bc,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0022,code/tests/test_cvar_sign.py,test_cvar_sign.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_cvar_sign.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,40,01c5cc335ebf1f91324f33939693e318a7850dd603d686e7a73575855a7f3473,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0023,code/tests/test_empirical_pipeline.py,test_empirical_pipeline.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_empirical_pipeline.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,252,89ec074a41526bd1c62060c97f907b07a92bf5a3064950503c9ccfa027ce6a20,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0024,code/tests/test_information_flexibility.py,test_information_flexibility.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_information_flexibility.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,39,f83f1db8f2ae44db49e950948c23e8f49c57b9507f2ff4b101247c6c133ec589,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0025,code/tests/test_optimizer_feasibility.py,test_optimizer_feasibility.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_optimizer_feasibility.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,79,0965a8b8ac002f2afb5828a440d1d7be7f2e73f022d2d8da074545dd2587a789,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0026,code/tests/test_publication_tables.py,test_publication_tables.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_publication_tables.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,41,b81780b63f3ede5f865ceae22c9d7ff3ae9e191e5f3a20e53e402de5f9b3e956,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0027,code/tests/test_ranking_reversal.py,test_ranking_reversal.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_ranking_reversal.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,29,5d978ae4ad16709634ec2d4cb2b3bddae25c38bc2d0bee33f4916ce45a5a6fd7,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0028,code/tests/test_reproducibility.py,test_reproducibility.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_reproducibility.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,61,abde822d205ed50d2dae981f21d76e496f13a9f2a8d74cc3d31f7da3e34012bb,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0029,code/tests/test_scenarios.py,test_scenarios.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/tests/test_scenarios.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,20260703,historical Git workspace,Repository-owned code/provenance; license not supplied,73,33109ef6879a7f33f323d250348dda8f2556e0851000494f833a213775c2d974,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0030,code/utilities/src/__init__.py,__init__.py,py,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__init__.py,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,19,6635f8899049f23cfde2b9a042eb5fa37ac9fd0b05b304a391d8236eac1f0278,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0031,code/utilities/src/__pycache__/__init__.cpython-311.pyc,__init__.cpython-311.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/__init__.cpython-311.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,593 bytes,ac7088053e9bb89224679a3816988e6992204b5d8023c08c593ebbdfa9305d6d,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0032,code/utilities/src/__pycache__/__init__.cpython-314.pyc,__init__.cpython-314.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/__init__.cpython-314.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,481 bytes,512e4eb81623946d7b4090a78a28b9846b376df09eb09ccd2cc18a6b1faff774,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0033,code/utilities/src/__pycache__/__init__.cpython-39.pyc,__init__.cpython-39.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/__init__.cpython-39.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,500 bytes,33c301bb0e8b2a693556197b35b45fab64a67b72264e8dbe2591423adda09f4b,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0034,code/utilities/src/__pycache__/benchmark_policies.cpython-311.pyc,benchmark_policies.cpython-311.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/benchmark_policies.cpython-311.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,13164 bytes,dc912ecf0e48ead6211efaabf66b033c58527d8579e7934b4417eb6ea8bc94c6,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0035,code/utilities/src/__pycache__/benchmark_policies.cpython-314.pyc,benchmark_policies.cpython-314.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/benchmark_policies.cpython-314.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,13055 bytes,db4f160d0e736bba43f5a8fa35286e956180bd938d3ce6b7467c46635c4bee80,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0036,code/utilities/src/__pycache__/benchmark_policies.cpython-39.pyc,benchmark_policies.cpython-39.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/benchmark_policies.cpython-39.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,6685 bytes,46045d1099c6607aac2679a39027333a6f13708acaccfb4a3adeb308d3ccc148,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0037,code/utilities/src/__pycache__/copula_models.cpython-311.pyc,copula_models.cpython-311.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/copula_models.cpython-311.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,7552 bytes,4ce010de282b834230481552eefb5d5d265c78e7d72ffc324a79923034183bd8,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0038,code/utilities/src/__pycache__/copula_models.cpython-314.pyc,copula_models.cpython-314.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/copula_models.cpython-314.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,8082 bytes,009ce5bce19460a69aafaa4c6d398e9193f17e60a10e3c79ba514de35249155c,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0039,code/utilities/src/__pycache__/copula_models.cpython-39.pyc,copula_models.cpython-39.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/copula_models.cpython-39.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,4084 bytes,96f88ced2c984458c43c7fa8d2ea0ed21136e291706d899f16e1a59a4761fe20,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0040,code/utilities/src/__pycache__/cvar_optimizer.cpython-311.pyc,cvar_optimizer.cpython-311.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/cvar_optimizer.cpython-311.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,18104 bytes,9e60f28c2816c954f5ca3bb5cf70299458fc914576018f013bbbc29b873c5971,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
A0041,code/utilities/src/__pycache__/cvar_optimizer.cpython-314.pyc,cvar_optimizer.cpython-314.pyc,pyc,"reproducibility code, configuration, test, or provenance",VERIFIED_REPRODUCIBLE,/Users/luxinyu/Desktop/论文 1/src/__pycache__/cvar_optimizer.cpython-314.pyc,codex/final-crop-ranking-paper,8da55744bfa3cb73ffae89d59c9282e4737ff792,,copied byte-for-byte from source,,,,,historical Git workspace,Repository-owned code/provenance; license not supplied,17016 bytes,97ebb984465e7b0babb32cb4028ad734279fb9595d7fd405d8d1d44704351489,2026-07-18,selected tests + checksum + static scan,,,,Uncommitted source tree captured; no historical manuscript claim is verified by migration alone,COPIED_CANONICAL
