claim_id,claim_summary,status,evidence_type,supporting_assets,pipeline_reproduced,result_reproduced,manuscript_admissible,qualification_required,notes
LIT-C06,Copula and tail-dependence claims must be conditioned on a named family and verified ordering,LITERATURE_VERIFIED,theory_literature,"LIT-COP-001;LIT-THEORY-003",YES,NOT_APPLICABLE,YES,YES,"A scalar lower-tail coefficient does not order arbitrary joint laws"
LIT-C07,Predictive accuracy and downstream decision quality are distinct evaluation targets,LITERATURE_VERIFIED,method_literature,"LIT-PTO-001;LIT-PTO-002;LIT-PTO-003;LIT-PTO-004",YES,NOT_APPLICABLE,YES,YES,"Does not authorize leakage or replace distributional validation"
LIT-C08,Data-driven prescriptions should be evaluated against the actual constrained optimization task,LITERATURE_VERIFIED,method_literature,"LIT-PTO-001;LIT-PTO-002;LIT-PTO-003;LIT-PTO-004",YES,NOT_APPLICABLE,YES,YES,"The first paper need not claim a new learning algorithm"
LIT-C09,Information has operational value only through decisions that can change after information arrives,LITERATURE_VERIFIED,theory_literature,"LIT-VOI-001;LIT-VOI-002",YES,NOT_APPLICABLE,YES,YES,"Zero-value common-policy cases must remain explicit"
LIT-C10,Operational flexibility value depends on available actions costs margins and the complete uncertainty structure,LITERATURE_VERIFIED,theory_literature,"LIT-VOI-002;LIT-FLEX-001",YES,NOT_APPLICABLE,YES,YES,"Weak monotonicity is defensible; strict complementarity is not general"
LIT-C11,The proposed paper differs from included close studies by jointly analyzing solution-set-aware recommendation-versus-allocation reversal under loss-CVaR dependence stress and information/flexibility,BOUNDED_NOVELTY_INFERENCE,novelty_matrix,"audits/novelty_comparison_matrix.csv;LIT-AGR-001;LIT-AGR-002;LIT-AGR-003;LIT-AGR-004",YES,NOT_APPLICABLE,YES,YES,"Must be phrased relative to the included verified set; first/no-prior-study language prohibited"
DATA-C01,The frozen official-data pipeline contains 81 complete U.S.-total crop-year rows for corn soybeans and wheat from 1998 through 2024,ISSUE_4_DATA_VERIFIED,official_data,"data/raw_manifest.csv;data/processed/canonical_crop_year_panel.csv;audits/issue_4_data_acceptance_report.md",YES,YES,YES,YES,"National aggregate evidence only"
DATA-C02,The primary real-margin variable is reproducibly constructed from ERS harvest price yield and operating cost with BLS CPI-U normalization,ISSUE_4_DATA_VERIFIED,derived_data,"scripts/process_official_data.py;data/contracts/data_dictionary.csv",YES,YES,YES,YES,"Excludes secondary-product value and CPI-U is not a farm-input index"
DATA-C03,NOAA annual CONUS precipitation and temperature are complete contextual covariates for 1998 through 2024,ISSUE_4_DATA_VERIFIED,official_data,"DATA-NOAA-CAG-PCP;DATA-NOAA-CAG-TAVG;audits/geographic_temporal_alignment.md",YES,YES,YES,YES,"Not crop-specific exposure and not causal evidence"
DATA-C04,The NASS 2024 crop summary supplies an official external acreage benchmark,ISSUE_4_DATA_VERIFIED,official_data,"DATA-NASS-CROPAN25;data/raw/usda_nass/crop_production_2024_summary.txt",YES,NOT_APPLICABLE,YES,YES,"Not joined as a long-window panel variable"
DATA-C05,Farmer-specific constraints and CVaR thresholds are not identified by the admitted aggregate sources,BOUNDARY_VERIFIED,data_limitation,"evidence_registry/parameter_provenance.csv;audits/data_provenance_audit.md",YES,NOT_APPLICABLE,YES,YES,"Any later numerical value must remain illustrative and sensitivity-tested"
SIM-C01,The numerical design contains 90 preregistered cells and five fixed formal replication seeds frozen before a formal run,ISSUE_5_DESIGN_VERIFIED,simulation_design,"simulation/configs/experiment_design.yaml;audits/experiment_design_freeze.md",YES,NOT_APPLICABLE,YES,YES,"Design fact only; no formal numerical result"
SIM-C02,Fixed-seed scenario generation is exactly repeatable for every implemented copula and marginal smoke path,ISSUE_5_ENGINE_VERIFIED,software_test,"simulation/dry_run;tests/test_simulation_design_freeze.py",YES,YES,YES,YES,"Dry-run evidence is manuscript-inadmissible until Issue 6"
SIM-C03,The optimizer implements loss-CVaR with atom-safe direct checks named constraints duals tail weights and KKT residual diagnostics,ISSUE_5_ENGINE_VERIFIED,method_test,"optimization/src/crop_optimization/cvar_optimizer.py;tests/test_kkt_oracles.py",YES,YES,YES,YES,"Finite-scenario numerical verification of the Issue 2 convention"
SIM-C04,Selected possible and universal reversal are distinguished by min-max audits over the objective-equivalent optimal face,ISSUE_5_ENGINE_VERIFIED,method_test,"optimization/src/crop_optimization/optimal_face_audit.py;tests/test_optimal_face_and_mechanisms.py",YES,YES,YES,YES,"Tolerance and objective-equivalence definition must accompany any result"
SIM-C05,Crossing-set logic can represent multiple disjoint reversal regions and blocks an unsupported unique-threshold claim,ISSUE_5_ENGINE_VERIFIED,method_test,"optimization/src/crop_optimization/crossing_sets.py;tests/test_optimal_face_and_mechanisms.py",YES,YES,YES,YES,"Formal crossings remain to be estimated in Issue 6"
SIM-C06,Finite-state information value is nonnegative when ignoring the signal is admissible and nested action-set value is weakly monotone,ISSUE_5_ENGINE_VERIFIED,method_test,"optimization/src/crop_optimization/information_flexibility.py;tests/test_optimal_face_and_mechanisms.py",YES,YES,YES,YES,"Strict complementarity is not asserted"
SIM-C07,Copula tail-dependence metadata explicitly limits ordering claims to a named family,ISSUE_5_ENGINE_VERIFIED,method_boundary,"simulation/src/crop_simulation/copula_models.py;simulation/configs/experiment_design.yaml",YES,YES,YES,YES,"No cross-family scalar ordering theorem"
SIM-C08,The three-cell engine run is a deterministic smoke test and not a formal experiment or substantive result,DRY_RUN_ONLY,software_test,"simulation/dry_run/summary.json;audits/issue_5_acceptance_report.md",YES,YES,NO,YES,"Must not appear as empirical or simulation evidence in the manuscript"
SIM-R01,The frozen 90-cell design completed 450 primary solves and 4.5 million scenario rows with no solver failure,ISSUE_6_FORMAL_VERIFIED,formal_simulation,"simulation/outputs/formal_results.csv;simulation/outputs/summary.json",YES,YES,NO,YES,"Formal simulation is not empirical evidence and failed the headline convergence gate"
SIM-R02,Thirty of 90 design cells exhibited universal Corn-to-Soybean allocation reversal in all five replications while 60 did not,ISSUE_6_NONHEADLINE_RESULT,formal_simulation,"simulation/outputs/cell_summary.csv;simulation/outputs/formal_results.csv",YES,YES,NO,YES,"150 of 450 replications; quarantined from headline use because convergence failed"
SIM-R03,The loss-CVaR constraint bound in 245 formal replications and was slack in 205,ISSUE_6_NONHEADLINE_RESULT,mechanism_decomposition,"simulation/outputs/formal_results.csv;simulation/outputs/mechanism_decomposition.csv",YES,YES,NO,YES,"Rejects blanket binding claims but remains illustrative sensitivity evidence"
SIM-R04,Mixed-factor ordering by Kendall tau yields multiple disjoint reversal regions within every named copula family,ISSUE_6_CONDITIONAL_RESULT,crossing_audit,"simulation/outputs/reversal_regions.csv;audits/formal_simulation_results_audit.md",YES,YES,NO,YES,"Not a controlled causal threshold and never a cross-family ordering"
SIM-R05,All 450 reverse-order replays and all nine solver-method sensitivity comparisons passed with KKT and direct CVaR residuals below frozen tolerances,ISSUE_6_FORMAL_VERIFIED,reproducibility_audit,"simulation/outputs/independent_replay.csv;simulation/outputs/solver_sensitivity.csv;simulation/outputs/summary.json",YES,YES,YES,YES,"Supports numerical reproducibility only"
SIM-R06,Zero of five convergence-grid rows passed the frozen rule and the formal results are not headline-admissible,ISSUE_6_ADVERSE_RESULT,convergence_audit,"simulation/outputs/convergence_summary.csv;audits/convergence_failure_memo.md",YES,YES,YES,YES,"Ten-replication 95% Wilson width is at least 0.2775 under unanimous outcomes"
SIM-R07,Exact illustrative signal values are nonnegative and nested action-set values are weakly nondecreasing,ISSUE_6_MECHANISM_VERIFIED,mechanism_audit,"simulation/outputs/information_flexibility.csv;simulation/outputs/theory_prediction_assessment.csv",YES,YES,NO,YES,"Mechanism check only; not an empirical information-value estimate"
SIM-R08,The descriptive pseudo-diversification flag occurs in 84 of 450 replications,ISSUE_6_DESCRIPTIVE_RESULT,diagnostic,"simulation/outputs/formal_results.csv;audits/formal_simulation_results_audit.md",YES,YES,NO,YES,"Not welfare evidence and not sufficient for exclusion"
EMP-C01,The official complete empirical sample contains 231 crop rows forming 77 three-crop state-years across 26 states in 2022-2024,ISSUE_7_EMPIRICAL_VERIFIED,descriptive_empirical,"data/processed/empirical_state_crop_analysis_panel.csv;empirical/outputs/sample_flow.csv",YES,YES,YES,YES,"Selected states with complete corn soybean and winter-wheat acreage and yield only"
EMP-C02,Standardized operating-margin and observed-acreage top ranks disagree in 63 of 77 admitted state-years with strong disagreement in 41,ISSUE_7_DESCRIPTIVE_RESULT,descriptive_empirical,"empirical/outputs/discordance_detail.csv;empirical/outputs/definition_summary.csv",YES,YES,YES,YES,"National prices/costs are accounting standardizations and observed acreage is not an optimum"
EMP-C03,Ranking discordance is definition-sensitive across relative yield standardized revenue operating margin and total-cost margin,ISSUE_7_ROBUSTNESS_VERIFIED,robustness,"empirical/outputs/definition_summary.csv;audits/empirical_robustness_validation.md",YES,YES,YES,YES,"Top-discordance rates span 0.623 to 0.870; no universal rate"
EMP-C04,National real-margin and planted-acreage ranks agree for all nine crop-years in 2022-2024,ISSUE_7_NULL_RESULT,descriptive_empirical,"empirical/outputs/national_check.csv;audits/empirical_claim_boundary.md",YES,YES,YES,YES,"Retained national null; does not negate state heterogeneity"
EMP-C05,A leakage-free 2024 relative-yield ranking disagrees with top acreage in 22 of 25 complete states,ISSUE_7_LOW_POWER_VALIDATION,temporal_validation,"empirical/outputs/lagged_2024_validation.csv;audits/empirical_robustness_validation.md",YES,YES,YES,YES,"Only two training years; not a predictive-performance claim"
EMP-C06,Observed-share accounting value is not a welfare estimate and score-top accounting ignores feasibility and adjustment costs,BOUNDARY_VERIFIED,accounting_boundary,"empirical/outputs/discordance_detail.csv;audits/empirical_claim_boundary.md",YES,YES,YES,YES,"State yield is combined with national price and cost"
EMP-C07,The admitted data do not identify observed acreage optimality private constraints CVaR binding copula causality state downside risk or causal mechanisms,BOUNDARY_VERIFIED,identification_boundary,"empirical/outputs/claim_boundaries.csv;audits/empirical_claim_boundary.md",YES,YES,YES,YES,"Null and not-identified items must remain explicit"
EMP-C08,Two isolated raw-to-analysis executions reproduce 19 processed and output artifacts byte-for-byte,ISSUE_7_REPRODUCIBILITY_VERIFIED,reproducibility_audit,"empirical/outputs/reproducibility.json;empirical/outputs/SHA256SUMS.txt",YES,YES,YES,YES,"Reproducibility supports pipeline integrity rather than causal validity"
S2SIM-C01,The Stage II confirmatory design and all governed outputs share one frozen pre-result design hash,ISSUE_22_DESIGN_VERIFIED,simulation_design,"simulation/configs/stage_ii_confirmatory_design.yaml;simulation/stage_ii/outputs/scenario_registry.csv",YES,YES,NO,YES,"Design and lineage fact only; supervisor promotion remains required"
S2SIM-C02,The operational-constraint experiment passed all 24 prospective contrast precision gates and retained direct forcing inactive and marginal-pressure cases,ISSUE_22_PRECISION_PASSED,confirmatory_simulation,"simulation/stage_ii/outputs/mechanism_summary.csv;simulation/stage_ii/outputs/kkt_pressures.csv;simulation/stage_ii/outputs/optimal_faces.csv",YES,YES,NO,YES,"Synthetic controlled evidence only; KKT pressure is not an acreage-causal contribution"
S2SIM-C03,The finite information-flexibility experiment passed its positive null and substitution interaction precision gates,ISSUE_22_PRECISION_PASSED,confirmatory_simulation,"simulation/stage_ii/outputs/information_flexibility.csv;simulation/stage_ii/outputs/mechanism_summary.csv",YES,YES,NO,YES,"Finite archetype result; strict complementarity remains parameter-dependent"
S2SIM-C04,E1 E3 E4 and E5 reached the 64-replication ceiling without passing every frozen precision target,ISSUE_22_ADVERSE_PRECISION_RESULT,confirmatory_simulation,"simulation/stage_ii/outputs/sequential_stopping.csv;simulation/stage_ii/outputs/mechanism_summary.csv",YES,YES,NO,YES,"Adverse outcome must remain explicit and blocks selective numerical promotion"
S2SIM-C05,All 206 infeasible rows are designed or independently minimum-CVaR certified and no unexplained primary solver failure remains,ISSUE_22_NUMERICAL_VERIFIED,numerical_audit,"simulation/stage_ii/outputs/raw_replications.csv;simulation/stage_ii/outputs/summary.json",YES,YES,NO,YES,"Includes 192 designed E3 anchors plus 14 sampled E4/E5 infeasibilities"
S2SIM-C06,All reverse-order replays solver-method checks KKT pressure closures and Shapley efficiency checks passed,ISSUE_22_REPRODUCIBILITY_VERIFIED,reproducibility_audit,"simulation/stage_ii/outputs/independent_replay.csv;simulation/stage_ii/outputs/solver_sensitivity.csv;simulation/stage_ii/outputs/kkt_pressures.csv;simulation/stage_ii/outputs/block_attribution.csv",YES,YES,NO,YES,"Supports numerical integrity only and does not convert simulation into empirical evidence"
S2EMP-C01,Concurrent inversion intensity is substantial but definition-sensitive across 77 admitted state-years,ISSUE_25_DESCRIPTIVE_VERIFIED,descriptive_empirical,"empirical/stage_ii/outputs/inversion_intensity_summary.csv;empirical/stage_ii/outputs/definition_agreement.csv",YES,YES,YES,YES,"State-cluster intervals; concurrent realized scores are descriptive or accounting constructs"
S2EMP-C02,Across 51 transitions per definition prior-score-top crops have no precisely identified mean share-change advantage,ISSUE_25_NULL_RESULT,temporal_validation,"empirical/stage_ii/outputs/transition_summary.csv;empirical/stage_ii/outputs/rank_transition_events.csv",YES,YES,YES,YES,"All four registered 95% state-cluster intervals include zero; no causal interpretation"
S2EMP-C03,Acreage-top identity changes in 5 of 51 admitted state transitions while score-top stability varies by definition,ISSUE_25_TRANSITION_VERIFIED,descriptive_empirical,"empirical/stage_ii/outputs/rank_transition_events.csv;empirical/stage_ii/outputs/transition_summary.csv",YES,YES,YES,YES,"Aggregate transition evidence; adjustment costs and constraints are unobserved"
S2EMP-C04,National aggregation erases operating-margin and revenue discordance but not the total-cost definition and relative yield is nationally tied,ISSUE_25_AGGREGATION_BOUNDARY,descriptive_empirical,"empirical/stage_ii/outputs/national_definition_detail.csv;empirical/stage_ii/outputs/aggregation_summary.csv",YES,YES,YES,YES,"Definition and aggregation nulls are retained"
S2EMP-C05,Prior acreage modifies some descriptive lagged score-share associations but is an inertia proxy rather than a measured constraint,ISSUE_25_MODEL_CONSISTENCY_BOUNDARY,model_consistent_association,"empirical/stage_ii/outputs/inertia_association.csv;empirical/stage_ii/prediction_registry.csv",YES,YES,YES,YES,"Private rotation budget contract and capacity variables are absent"
S2EMP-C06,Observed acreage and yield model-generated E2/E6 outputs and unidentified private constructs are separated explicitly,ISSUE_25_IDENTIFICATION_VERIFIED,identification_boundary,"empirical/stage_ii/outputs/observed_model_unidentified.csv;empirical/stage_ii/outputs/claim_boundaries.csv",YES,YES,YES,YES,"No optimum CVaR copula causal welfare or private-constraint inference"
S2EMP-C07,Two isolated admitted-panel analyses reproduce 19 artifacts byte-for-byte,ISSUE_25_REPRODUCIBILITY_VERIFIED,reproducibility_audit,"empirical/stage_ii/outputs/reproducibility.json;empirical/stage_ii/outputs/SHA256SUMS.txt",YES,YES,YES,YES,"Reproducibility establishes pipeline integrity only"
